,precision,recall,f1-score,support
0,0.9969056039995068,0.9841531606568801,0.9904883374046132,419011.0
1,0.985,0.9688524590163935,0.9768595041322314,1830.0
2,0.997555502123908,0.9722688747412412,0.9847498862669858,25603.0
3,0.7332681973619931,0.9929985114945697,0.8435941268763318,18139.0
4,0.6363636363636364,0.017632241813602016,0.03431372549019608,397.0
accuracy,0.9829584068131962,0.9829584068131962,0.9829584068131962,0.9829584068131962
macro avg,0.8698185879698089,0.7871810495445374,0.7660011160340716,464980.0
weighted avg,0.9863021328958264,0.9829584068131962,0.9835719587752793,464980.0
